cluster,Label
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
0,rice
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
1,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
1,maize
1,maize
3,maize
3,maize
3,maize
3,maize
1,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
3,maize
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,chickpea
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
5,kidneybeans
